登場人物,セリフ,備考,番号
解説者,"平安時代と聞くと、
貴族が和歌を詠み、
雅な文化を楽しんでいた優雅な時代というイメージを持つ人も多いだろう。",冒頭,1
解説者,"だが実際には、
恋愛や暮らし、
都の治安、
病気や祈祷、
怨霊への恐れなど、
現代人から見るとかなり不思議な一面も多かった。",冒頭,2
解説者,"果たして、
平安時代は本当に優雅なだけの時代だったのだろうか？",冒頭,3
解説者,"今回は、
平安時代の雑学について議論を繰り広げる、
2ちゃんねるの歴史オタクたちを見ていこう。",冒頭,4
解説者,"この動画を見れば、
平安時代のイメージがきっと大きく変わるだろう。",冒頭,5
男性A,平安時代の暮らし雅どころか面倒そうｗｗｗｗｗ,スレ①,1
女性B下,いきなり平安で暮らせ言われたら普通に詰む自信ある,スレ①,2>>1
男性C下,貴族なら楽勝ちゃうんか,スレ①,3>>1
女性D下,扇子持って和歌詠んでるだけのイメージ,スレ①,4>>1
男性E下,寒そう,スレ①,5>>1
男性A下,まず家が寒そう,スレ①,6>>5
女性B,十二単とか見た目は強いけど移動だるいやろあれ,スレ①,7
男性C大,"貴族の屋敷って寝殿造のイメージ強いけど、
壁でガチガチに閉じる家とは違うから風も入りやすいし、
季節への耐性は現代人目線だとかなりきつそうなんよな。
見た目は優雅でも快適さは別問題。",スレ①,8
女性D,3行で,スレ①,9
男性E下,オシャレ全振り住宅,スレ①,10>>8
男性A下,いやオシャレというか身分と儀礼の空間やろ,スレ①,11>>10
女性B,てか飯はどうなん,スレ①,12
男性C大,"米と魚と野菜があるだけ勝ち組感あるけど、
貴族の食事も現代の外食みたいな濃い味ではないはず。
保存や調理も今と違うし、
庶民まで同じもの食ってた扱いにするとたぶん雑すぎる。",スレ①,13
女性D,庶民パート急にぼんやりするな,スレ①,14
男性E下,史料に残りやすいのが貴族側やからしゃーない,スレ①,15>>14
男性A下,清少納言とか紫式部の世界だけで平安全部見たらアカンやつ,スレ①,16>>15
女性B下,平安文学フィルター強すぎ問題,スレ①,17>>16
